figure,panel,role,profile_type,bw_mm,energy_mev,ctc_mm,required_path,status,notes
Figure 1,,3 x bw,peak,1.5,50,4.5,data/processed_data/PBP_dataset/FWHM15/50MeV/zpeak_1Darray_ctc45_50MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,5 x bw,peak,1.5,50,7.5,data/processed_data/PBP_dataset/FWHM15/50MeV/zpeak_1Darray_ctc75_50MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,3 x bw,peak,1.5,125,4.5,data/processed_data/PBP_dataset/FWHM15/125MeV/zpeak_1Darray_ctc45_125MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,5 x bw,peak,1.5,125,7.5,data/processed_data/PBP_dataset/FWHM15/125MeV/zpeak_1Darray_ctc75_125MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,3 x bw,peak,1.5,175,4.5,data/processed_data/PBP_dataset/FWHM15/175MeV/zpeak_1Darray_ctc45_175MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,5 x bw,peak,1.5,175,7.5,data/processed_data/PBP_dataset/FWHM15/175MeV/zpeak_1Darray_ctc75_175MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,3 x bw,peak,1.5,230,4.5,data/processed_data/PBP_dataset/FWHM15/230MeV/zpeak_1Darray_ctc45_230MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,5 x bw,peak,1.5,230,7.5,data/processed_data/PBP_dataset/FWHM15/230MeV/zpeak_1Darray_ctc75_230MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,3 x bw,peak,2,50,6,data/processed_data/PBP_dataset/FWHM20/50MeV/zpeak_1Darray_ctc60_50MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,5 x bw,peak,2,50,10,data/processed_data/PBP_dataset/FWHM20/50MeV/zpeak_1Darray_ctc100_50MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,3 x bw,peak,2,125,6,data/processed_data/PBP_dataset/FWHM20/125MeV/zpeak_1Darray_ctc60_125MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,5 x bw,peak,2,125,10,data/processed_data/PBP_dataset/FWHM20/125MeV/zpeak_1Darray_ctc100_125MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,3 x bw,peak,2,175,6,data/processed_data/PBP_dataset/FWHM20/175MeV/zpeak_1Darray_ctc60_175MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,5 x bw,peak,2,175,10,data/processed_data/PBP_dataset/FWHM20/175MeV/zpeak_1Darray_ctc100_175MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,3 x bw,peak,2,230,6,data/processed_data/PBP_dataset/FWHM20/230MeV/zpeak_1Darray_ctc60_230MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 1,,5 x bw,peak,2,230,10,data/processed_data/PBP_dataset/FWHM20/230MeV/zpeak_1Darray_ctc100_230MeV.txt,PRESENT,Figure 1 pMBRT PDD case exported from read-only USB PBP raw dose output
