figure,panel,role,profile_type,bw_mm,energy_mev,ctc_mm,required_path,status,notes
Figure 2,,3 x bw,peak_normalization,2,50,6,data/processed_data/PBP_dataset/FWHM20/50MeV/zpeak_1Darray_ctc60_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,2,50,6,data/processed_data/PBP_dataset/FWHM20/50MeV/zvalley_1Darray_ctc60_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,2,50,10,data/processed_data/PBP_dataset/FWHM20/50MeV/zpeak_1Darray_ctc100_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,2,50,10,data/processed_data/PBP_dataset/FWHM20/50MeV/zvalley_1Darray_ctc100_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,2,125,6,data/processed_data/PBP_dataset/FWHM20/125MeV/zpeak_1Darray_ctc60_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,2,125,6,data/processed_data/PBP_dataset/FWHM20/125MeV/zvalley_1Darray_ctc60_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,2,125,10,data/processed_data/PBP_dataset/FWHM20/125MeV/zpeak_1Darray_ctc100_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,2,125,10,data/processed_data/PBP_dataset/FWHM20/125MeV/zvalley_1Darray_ctc100_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,2,175,6,data/processed_data/PBP_dataset/FWHM20/175MeV/zpeak_1Darray_ctc60_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,2,175,6,data/processed_data/PBP_dataset/FWHM20/175MeV/zvalley_1Darray_ctc60_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,2,175,10,data/processed_data/PBP_dataset/FWHM20/175MeV/zpeak_1Darray_ctc100_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,2,175,10,data/processed_data/PBP_dataset/FWHM20/175MeV/zvalley_1Darray_ctc100_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,2,230,6,data/processed_data/PBP_dataset/FWHM20/230MeV/zpeak_1Darray_ctc60_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,2,230,6,data/processed_data/PBP_dataset/FWHM20/230MeV/zvalley_1Darray_ctc60_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,2,230,10,data/processed_data/PBP_dataset/FWHM20/230MeV/zpeak_1Darray_ctc100_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,2,230,10,data/processed_data/PBP_dataset/FWHM20/230MeV/zvalley_1Darray_ctc100_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 5,a,panel a,peak,0.5,50,1.5,data/processed_data/SOBP_dataset/FWHM5/50MeV/zpeak_1Darray_ctc15_50MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,a,panel a,valley,0.5,50,1.5,data/processed_data/SOBP_dataset/FWHM5/50MeV/zvalley_1Darray_ctc15_50MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,a,panel a,pvdr,0.5,50,1.5,data/processed_data/SOBP_dataset/FWHM5/50MeV/PVDR_1Darray_ctc15_50MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,b,panel b,peak,2,230,8,data/processed_data/SOBP_dataset/FWHM20/230MeV/zpeak_1Darray_ctc80_230MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,b,panel b,valley,2,230,8,data/processed_data/SOBP_dataset/FWHM20/230MeV/zvalley_1Darray_ctc80_230MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,b,panel b,pvdr,2,230,8,data/processed_data/SOBP_dataset/FWHM20/230MeV/PVDR_1Darray_ctc80_230MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,c,panel c,peak,1,125,4,data/processed_data/SOBP_dataset/FWHM10/125MeV/zpeak_1Darray_ctc40_125MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,c,panel c,valley,1,125,4,data/processed_data/SOBP_dataset/FWHM10/125MeV/zvalley_1Darray_ctc40_125MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,c,panel c,pvdr,1,125,4,data/processed_data/SOBP_dataset/FWHM10/125MeV/PVDR_1Darray_ctc40_125MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,d,panel d,peak,1,125,5,data/processed_data/SOBP_dataset/FWHM10/125MeV/zpeak_1Darray_ctc50_125MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,d,panel d,valley,1,125,5,data/processed_data/SOBP_dataset/FWHM10/125MeV/zvalley_1Darray_ctc50_125MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,d,panel d,pvdr,1,125,5,data/processed_data/SOBP_dataset/FWHM10/125MeV/PVDR_1Darray_ctc50_125MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,e,panel e,peak,1.2,125,4.8,data/processed_data/SOBP_dataset/FWHM12/125MeV/zpeak_1Darray_ctc48_125MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,e,panel e,valley,1.2,125,4.8,data/processed_data/SOBP_dataset/FWHM12/125MeV/zvalley_1Darray_ctc48_125MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,e,panel e,pvdr,1.2,125,4.8,data/processed_data/SOBP_dataset/FWHM12/125MeV/PVDR_1Darray_ctc48_125MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,f,panel f,peak,1.2,125,6,data/processed_data/SOBP_dataset/FWHM12/125MeV/zpeak_1Darray_ctc60_125MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,f,panel f,valley,1.2,125,6,data/processed_data/SOBP_dataset/FWHM12/125MeV/zvalley_1Darray_ctc60_125MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,f,panel f,pvdr,1.2,125,6,data/processed_data/SOBP_dataset/FWHM12/125MeV/PVDR_1Darray_ctc60_125MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,g,panel g,peak,1.2,175,4.8,data/processed_data/SOBP_dataset/FWHM12/175MeV/zpeak_1Darray_ctc48_175MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,g,panel g,valley,1.2,175,4.8,data/processed_data/SOBP_dataset/FWHM12/175MeV/zvalley_1Darray_ctc48_175MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,g,panel g,pvdr,1.2,175,4.8,data/processed_data/SOBP_dataset/FWHM12/175MeV/PVDR_1Darray_ctc48_175MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,h,panel h,peak,1.2,175,6,data/processed_data/SOBP_dataset/FWHM12/175MeV/zpeak_1Darray_ctc60_175MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,h,panel h,valley,1.2,175,6,data/processed_data/SOBP_dataset/FWHM12/175MeV/zvalley_1Darray_ctc60_175MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,h,panel h,pvdr,1.2,175,6,data/processed_data/SOBP_dataset/FWHM12/175MeV/PVDR_1Darray_ctc60_175MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,i,panel i,peak,1.5,175,6,data/processed_data/SOBP_dataset/FWHM15/175MeV/zpeak_1Darray_ctc60_175MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,i,panel i,valley,1.5,175,6,data/processed_data/SOBP_dataset/FWHM15/175MeV/zvalley_1Darray_ctc60_175MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,i,panel i,pvdr,1.5,175,6,data/processed_data/SOBP_dataset/FWHM15/175MeV/PVDR_1Darray_ctc60_175MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,l,panel l,peak,1.5,175,7.5,data/processed_data/SOBP_dataset/FWHM15/175MeV/zpeak_1Darray_ctc75_175MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,l,panel l,valley,1.5,175,7.5,data/processed_data/SOBP_dataset/FWHM15/175MeV/zvalley_1Darray_ctc75_175MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
Figure 5,l,panel l,pvdr,1.5,175,7.5,data/processed_data/SOBP_dataset/FWHM15/175MeV/PVDR_1Darray_ctc75_175MeV.txt,PRESENT,Generated from read-only USB SOBP raw dose output using the pMBRT profile workflow
